iter	Passed	Remaining
733	29413	50732
734	29441	50671
735	29478	50626
736	29507	50566
737	29545	50523
738	29575	50466
739	29616	50427
740	29645	50368
741	29685	50329
742	29715	50272
743	29760	50240
744	29790	50184
745	29842	50163
746	29870	50104
747	29910	50064
748	29951	50026
749	29997	49995
750	30048	49974
751	30090	49937
752	30120	49880
753	30163	49845
754	30192	49787
755	30230	49745
756	30279	49718
757	30317	49675
758	30346	49618
759	30383	49573
760	30407	49507
761	30442	49458
762	30470	49400
763	30507	49355
764	30544	49310
765	30592	49283
766	30618	49221
767	30654	49175
768	30685	49121
769	30723	49077
770	30752	49021
771	30798	48990
772	30855	48978
773	30907	48956
774	30935	48898
775	30982	48869
776	31006	48804
777	31044	48761
778	31076	48708
779	31112	48663
780	31137	48599
781	31188	48577
782	31214	48515
783	31248	48467
784	31276	48408
785	31312	48362
786	31343	48309
787	31389	48279
788	31416	48219
789	31453	48174
790	31484	48121
791	31522	48080
792	31548	48019
793	31593	47986
794	31622	47931
795	31659	47887
796	31684	47825
797	31736	47803
798	31767	47750
799	31812	47718
800	31843	47665
801	31882	47625
802	31907	47563
803	31957	47538
804	31986	47482
805	32038	47461
806	32073	47414
807	32129	47398
808	32154	47337
809	32203	47311
810	32233	47256
811	32270	47214
812	32296	47153
813	32330	47105
814	32354	47043
815	32408	47023
816	32435	46965
817	32483	46938
818	32512	46882
819	32564	46861
820	32590	46801
821	32647	46786
822	32695	46758
823	32762	46757
824	32806	46724
825	32872	46722
826	32911	46681
827	32977	46678
828	33015	46635
829	33071	46619
830	33119	46591
831	33175	46573
832	33217	46536
833	33257	46496
834	33284	46438
835	33343	46425
836	33377	46378
837	33415	46334
838	33442	46277
839	33480	46235
840	33517	46190
