iter	Kappa	MultiClass
531	0.5124091885	0.5703173736
532	0.5123621883	0.570179787
533	0.5121580707	0.5700700254
534	0.5123341423	0.5699804708
535	0.5124895894	0.569944519
536	0.512763528	0.5697294577
537	0.5128736355	0.5696692123
538	0.5132731874	0.569493149
539	0.5136448502	0.5693354964
540	0.5136481336	0.5692000366
541	0.5136275807	0.5691297073
542	0.51361031	0.5690325982
543	0.513563465	0.5689687328
544	0.5135938468	0.5688677609
545	0.513961439	0.5687158535
546	0.5148747217	0.5685546915
547	0.5145327138	0.5684167747
548	0.5147784442	0.5683424742
549	0.5148876723	0.5682201924
550	0.5149344132	0.5681917205
551	0.5154322126	0.5680360316
552	0.5158518574	0.5679247261
553	0.515757171	0.5678591328
554	0.515705626	0.5677956401
555	0.5157945139	0.5675873747
556	0.5161191137	0.5674987994
557	0.516474778	0.5673279943
558	0.5164576206	0.5672547848
559	0.5166022265	0.567184336
560	0.5170827143	0.5670765506
561	0.5168759223	0.5670309855
562	0.5167639786	0.5669675379
563	0.5167623485	0.5668907417
564	0.5168791818	0.5667616715
565	0.5172349969	0.5666349967
566	0.517185228	0.5665756654
567	0.5179156733	0.5664376461
568	0.5179205525	0.5663102797
569	0.5182651556	0.5661952843
570	0.5185900393	0.5661253047
571	0.5182998554	0.5659897938
572	0.5181690774	0.5659019557
573	0.518513677	0.5658555651
574	0.5184998395	0.5657840331
575	0.5189458637	0.5656817216
576	0.5193203691	0.5654873167
577	0.5193682903	0.5653717351
578	0.5191668211	0.5652410332
579	0.5190692945	0.5651787758
580	0.5194828808	0.5650461125
581	0.5201968588	0.5649249457
582	0.5202545572	0.5648039409
583	0.5204200576	0.5647111813
584	0.520219425	0.5645456538
585	0.5202948068	0.5644033807
586	0.520588302	0.5641903625
587	0.5207126389	0.564084418
588	0.520803757	0.5639526142
589	0.5205674227	0.5637881014
590	0.5213047097	0.5636309386
591	0.5209842306	0.5634820745
592	0.5213590128	0.5633868591
593	0.52143536	0.5632566204
594	0.5213111682	0.5630395569
595	0.5217759677	0.5628804893
596	0.5217961615	0.562815367
597	0.5222334857	0.5627478915
598	0.5220618851	0.5626409255
599	0.5222916052	0.5625541929
600	0.5224361351	0.5624752504
601	0.5225451834	0.5623571217
602	0.523494145	0.5622368055
603	0.5231367835	0.5620732014
604	0.5233157706	0.561953174
605	0.5239912403	0.5618261678
606	0.5244506111	0.5617193656
607	0.5246593941	0.5616077453
608	0.5245943772	0.5615491481
609	0.5246577913	0.561424346
610	0.5248537114	0.5612641817
611	0.5251805357	0.5611959447
612	0.5251941762	0.5610288189
613	0.5249620767	0.5609747026
614	0.5256755376	0.5608630339
615	0.5256388281	0.5607869608
616	0.5256388281	0.5607252793
617	0.5259340488	0.5605964295
618	0.5262366024	0.5604863541
619	0.5262864506	0.5603766112
620	0.5268164305	0.5602454626
621	0.5266748516	0.5600954387
622	0.5273512803	0.5599781835
623	0.5275108914	0.5598499231
624	0.527766168	0.5597728904
625	0.528270283	0.5596570159
626	0.5285304017	0.5595043247
627	0.5287962971	0.5593461782
628	0.5284220669	0.5592036796
629	0.528664865	0.5591383947
630	0.5285696037	0.5590673485
631	0.5288519719	0.5589446563
632	0.5291834667	0.5588251736
633	0.5291651963	0.5586702315
634	0.529450767	0.558602417
635	0.5294809442	0.5585121484
636	0.5299227629	0.5583861172
637	0.5301496268	0.5582384994
638	0.5304089897	0.5581953433
639	0.5306475115	0.5580846595
640	0.5299188163	0.5579688427
641	0.5300662939	0.557904288
642	0.5299362406	0.5577991942
643	0.5299180036	0.5577113421
644	0.5301900275	0.5576356612
645	0.5301622579	0.5575050932
646	0.5302154044	0.5574368385
647	0.530300255	0.5573706326
648	0.530913187	0.5572563209
649	0.5309877117	0.5571716588
650	0.5309345419	0.5571183473
651	0.5313085553	0.5570064844
652	0.5311943279	0.556912944
653	0.5315397564	0.5567973512
654	0.5315231683	0.5567583459
655	0.5313573602	0.5566529591
656	0.5314286909	0.5565455156
657	0.5316045204	0.5564632567
658	0.5315760824	0.5563799874
659	0.5319611486	0.5562875248
660	0.5316276762	0.5561763069
661	0.5315181856	0.5560291909
662	0.5317869203	0.5559704956
663	0.5323461056	0.5558091026
664	0.5324190228	0.5557365157
665	0.5324288571	0.5556363186
666	0.5323590794	0.5555340402
667	0.5326125368	0.5554329891
668	0.5328037379	0.5553407266
669	0.5327438383	0.5552578851
670	0.5327722168	0.5551874667
671	0.5328435711	0.5551049458
672	0.5330111595	0.5550244574
673	0.5329232536	0.5549040133
674	0.5325845652	0.5548333205
675	0.5324785093	0.5546508454
676	0.5329862796	0.5545833904
677	0.5332019142	0.5545352825
678	0.5340113421	0.5544619289
679	0.5338590406	0.5543348459
680	0.5340599081	0.554279431
681	0.5342739366	0.5542302765
682	0.5343900418	0.5541263082
683	0.5342622932	0.5540477481
684	0.5343799518	0.5539719051
685	0.5343815189	0.5538679292
686	0.534831397	0.5537512358
687	0.5352068996	0.5536431523
688	0.5350195437	0.5535849388
689	0.5352900045	0.5535165086
690	0.535904424	0.5533908748
691	0.5358002342	0.5533168998
692	0.5358597161	0.5531574652
693	0.5359074409	0.5530621047
694	0.5359936148	0.5529695719
695	0.5359371701	0.5529220622
696	0.5363368677	0.5528445529
697	0.5363579595	0.5527564353
698	0.5366221111	0.5526372073
699	0.5371404896	0.5525264683
700	0.5370426554	0.5524325746
701	0.5369978957	0.5523170992
702	0.5370054089	0.5522543152
703	0.5375160994	0.5521792903
704	0.5371966605	0.5520895402
705	0.5378678508	0.5519357419
706	0.5373334348	0.5518737503
707	0.5374479282	0.5518043287
708	0.5380726877	0.5517448937
709	0.5378709598	0.5516430098
710	0.5379601453	0.5516125627
711	0.5380404352	0.5515151079
712	0.5379154277	0.5513872763
713	0.5383310604	0.5513447057
714	0.5380061848	0.5512218063
715	0.5377568628	0.5510893451
716	0.5382765798	0.5509844122
717	0.5380003955	0.5508892957
718	0.5387608918	0.5508017274
719	0.5392335784	0.5507086592
720	0.5392096501	0.5505667836
721	0.5392391617	0.5504162627
722	0.5390711168	0.5503585396
723	0.5393956918	0.5502360073
724	0.5390260316	0.550168703
725	0.5387468663	0.5500663933
726	0.5391731283	0.5500035982
727	0.540420839	0.54987676
728	0.5406671639	0.5498129029
729	0.5406144067	0.5497640929
730	0.5405834533	0.5496938393
731	0.5404711566	0.5496154124
732	0.5406562585	0.5495068446
733	0.5404696112	0.5494213698
734	0.5409327803	0.54932078
735	0.5408328056	0.5492399032
736	0.5406593477	0.5491696729
737	0.5406012477	0.549051414
738	0.5405810051	0.5489635261
739	0.5407877458	0.5489067452
740	0.5407870567	0.548797768
741	0.5411711383	0.548701123
742	0.5414833509	0.5485731512
743	0.5415720269	0.5484845677
744	0.5414777829	0.5483807659
745	0.5415925431	0.5483045529
746	0.5418020558	0.5482414764
747	0.5416072221	0.5481794293
748	0.5418540372	0.548065001
749	0.5422847569	0.5479915128
750	0.5422974179	0.547900696
751	0.5423267258	0.5478546433
752	0.5428665008	0.5477460573
753	0.5427578844	0.54760531
754	0.5428730856	0.5474617694
755	0.5431077056	0.547383099
756	0.5434430855	0.5472603358
757	0.5434668975	0.5470824509
758	0.5438425515	0.5469328697
759	0.544409894	0.5468133973
760	0.5440840719	0.5467220423
761	0.5440306383	0.5466269736
762	0.543975919	0.5464997287
763	0.5445431522	0.546401235
764	0.5448551774	0.5462968809
765	0.5449494639	0.5461631316
766	0.5446075174	0.5460774302
767	0.5448911875	0.5459960333
768	0.545137207	0.5458774453
769	0.5455663123	0.5457990585
770	0.5459125513	0.5457276178
771	0.5454659526	0.5456600005
772	0.5457249035	0.5455953411
773	0.5459969339	0.5455085575
774	0.5456115406	0.5454902016
775	0.5455563505	0.5454137434
776	0.5456436852	0.5453465358
777	0.5457540715	0.5452148894
778	0.546040526	0.5451132064
779	0.5460957263	0.5450235521
780	0.5463631823	0.5449603411
781	0.5462808427	0.5448437722
782	0.5465642731	0.5447869252
783	0.5466324639	0.5446884502
784	0.5466777393	0.5445684081
785	0.5465380895	0.544483511
786	0.5468329466	0.5443751641
787	0.5468024231	0.5443394562
788	0.5469174215	0.5442564798
789	0.5473128431	0.5441645418
790	0.5475989638	0.5440581069
791	0.5478709493	0.5439442964
792	0.548133644	0.5438434902
793	0.548360222	0.5437842719
794	0.5486042595	0.5437316669
795	0.5488323183	0.5436769445
796	0.5491717949	0.5435619333
797	0.5495140575	0.5434497728
798	0.5493307674	0.5433318536
799	0.5494467207	0.5432596908
800	0.5497852966	0.543176148
801	0.5498678709	0.5431436929
802	0.5495572821	0.543049289
803	0.5497261799	0.5429335094
804	0.5495678342	0.5428085669
805	0.5496231287	0.5427426811
806	0.5499822388	0.5426265186
807	0.5499617729	0.5425211464
808	0.5501200913	0.5424595314
809	0.5503542166	0.5423324496
810	0.5501284336	0.5422775508
811	0.5504594073	0.5421262818
812	0.5507161043	0.5420779149
813	0.5507396689	0.5420300357
814	0.5505972726	0.5419477727
815	0.55044352	0.5418418684
816	0.5507169701	0.5417527698
